metoda,estymator,klasyfikator,ilość cech,f1,dokładność,precyzja,recall,czas uczenia
ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=1),10,0.0069506168365478516,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=3),10,0.00797891616821289,0.48000000000000004,0.74,0.46153846153846156,0.5

ReliefF,ReliefF,RandomForestRegressor(n_estimators=250),10,0.01618051528930664,nan,nan,nan,nan

ReliefF,ReliefF,LogisticRegression(),10,0.006011009216308594,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),25,0.009011983871459961,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),25,0.00502324104309082,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),25,0.01562976837158203,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),25,0.006942033767700195,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),25,0.009948015213012695,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),25,0.005975961685180664,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),25,0.015619993209838867,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),25,0.00400090217590332,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),25,0.008975982666015625,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),25,0.008011817932128906,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),25,0.015620708465576172,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),LogisticRegression(),25,0.0059566497802734375,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),25,0.009016275405883789,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),25,0.006020069122314453,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),RandomForestRegressor(n_estimators=250),25,0.015621185302734375,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),LogisticRegression(),25,0.005020856857299805,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),25,0.00698089599609375,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),25,0.008976936340332031,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),25,0.00901651382446289,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),25,0.003961086273193359,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),25,0.009003162384033203,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),25,0.0059833526611328125,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),25,0.02393174171447754,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),25,0.005950212478637695,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),25,0.011070966720581055,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),25,0.006982088088989258,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),25,0.015621423721313477,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),LogisticRegression(),25,0.0069959163665771484,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),25,0.0009520053863525391,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),25,0.007354021072387695,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),RandomForestRegressor(n_estimators=250),25,0.015621423721313477,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),LogisticRegression(),25,0.003951072692871094,0.3157894736842105,0.74,0.42857142857142855,0.25

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=1),25,0.014066457748413086,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=3),25,0.005983829498291016,0.48000000000000004,0.74,0.46153846153846156,0.5

Las losowy,Las losowy,RandomForestRegressor(n_estimators=250),25,0.015620946884155273,nan,nan,nan,nan

Las losowy,Las losowy,LogisticRegression(),25,0.006955146789550781,0.3157894736842105,0.74,0.42857142857142855,0.25

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=1),25,0.009059906005859375,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=3),25,0.010013818740844727,0.48000000000000004,0.74,0.46153846153846156,0.5

ReliefF,ReliefF,RandomForestRegressor(n_estimators=250),25,0.015621423721313477,nan,nan,nan,nan

ReliefF,ReliefF,LogisticRegression(),25,0.00797414779663086,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),50,0.008953332901000977,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),50,0.005957841873168945,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),50,0.015621423721313477,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),50,0.005963325500488281,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),50,0.009409904479980469,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),50,0.005981922149658203,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),50,0.015621185302734375,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),50,0.006022930145263672,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),50,0.01564764976501465,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),LogisticRegression(),50,0.0029916763305664062,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),50,0.0011494159698486328,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),RandomForestRegressor(n_estimators=250),50,0.015620708465576172,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,LogisticRegression(),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),50,0.015621662139892578,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),50,0.00010895729064941406,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),50,0.015622615814208984,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),50,0.015621185302734375,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,RandomForestRegressor(n_estimators=250),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),RandomForestRegressor(n_estimators=250),50,0.015620708465576172,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w tył,LogisticRegression(),LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

